,title,critic_score,genres,stars,director,production_co,polarity,like_rate
0,Pride and Prejudice and Zombies,45,55.4,56.0,53.0,60.67,0.2227868330536856,0.899246189332509
1,American Ultra,50,53.41,58.33,49.0,54.67,0.23826712515537746,0.9725941684394944
2,Jane Got a Gun,49,58.35,58.67,56.0,45.33,0.07503528339616923,0.8959599570968895
3,Pitch Perfect 2,63,60.7,55.0,52.0,47.33,0.1994215827322487,0.9683717297930496
4,Bone Tomahawk,72,60.39,53.33,67.0,57.5,0.1416091457453584,0.9341825902335457
5,Dark Places,39,57.34,60.33,52.0,50.67,0.15195456677091862,0.9562012142237641
6,Jupiter Ascending,40,54.6,55.0,60.5,52.0,0.20033648238066432,0.9336896609320193
7,Furious 7,67,53.41,51.67,46.0,55.33,0.13753192323551552,0.9710027788890931
8,Pan,36,56.2,55.0,63.0,55.0,0.1934685365114381,0.9231758111791022
9,Our Kind of Traitor,57,57.89,55.33,79.0,65.0,0.14407914016710316,0.9571178529754959
10,The Walk,70,58.65,63.33,56.0,58.67,0.19807446332132245,0.9598602569234689
11,Child 44,41,58.79,57.33,56.0,53.0,0.22869404536950494,0.9423274352315961
12,Southpaw,57,58.25,60.0,52.0,47.67,0.2978597323294953,0.9692143758903856
13,Chappie,41,56.48,54.0,61.0,54.0,0.19482667227036785,0.9626535626535626
14,Digging for Fire,69,59.35,55.67,62.0,69.33,0.2401515151515152,0.9637681159420289
15,Sisters,58,55.57,65.0,55.0,58.0,0.16041394514339818,0.9422642284775016
16,By the Sea,44,59.35,58.67,53.0,51.33,0.1310941572316572,0.8921071687183201
17,Suffragette,66,63.86,65.0,74.0,62.67,0.19929485379464282,0.9574140888389424
18,Nasty Baby,64,63.13,64.33,68.0,68.67,0.026071616462241452,0.7752808988764045
19,The Little Prince,70,59.1,59.0,72.0,57.67,0.23751049481066205,0.9873093869926293
20,Money Monster,55,57.34,60.67,62.0,51.0,0.15800984759187717,0.964119772844605
21,Victor Frankenstein,36,57.97,55.0,74.0,49.33,0.10327184035907658,0.9670639899623589
22,The Man from U.N.C.L.E.,56,53.96,54.67,48.0,57.67,0.15592040906543272,0.9475902768020233
23,Miles Ahead,64,62.42,50.0,61.0,58.5,0.1634553726876125,0.9624563003495972
24,Our Little Sister,75,60.04,74.0,79.0,67.33,0.2588490907191411,0.9885452462772051
25,Spy,75,53.41,55.33,54.0,58.67,0.309473321378083,0.9603409456416855
26,Mississippi Grind,77,59.35,58.0,72.0,64.0,0.16967565326355005,0.9428104575163399
27,A Hologram for the King,58,58.09,51.0,62.0,55.33,0.13240036461281765,0.612367202397167
28,Everest,64,57.7,65.33,57.0,58.33,0.22049043795137144,0.979782366761469
29,The Brothers Grimsby,44,54.49,56.0,49.0,60.67,0.06902129066253082,0.9364921030756442
30,Z for Zachariah,68,57.52,60.0,68.0,59.0,0.10974081351148489,0.9394028103044496
31,True Story,50,61.04,56.0,58.0,62.67,0.012748015873015864,0.9733333333333334
32,Mission: Impossible - Rogue Nation,75,53.41,69.33,59.0,59.0,0.22032063191918091,0.9644485981308412
33,Fantastic Four,27,54.6,53.67,52.0,54.33,0.16209938343859595,0.7947699437272426
34,The Martian,80,58.56,62.0,58.0,55.67,0.21638937845526304,0.9731643400695459
35,Freeheld,50,61.28,63.33,66.0,51.33,0.07160736027602607,0.9273231031543052
36,Room,86,58.52,55.0,77.0,70.67,0.09316040938583312,0.9613316554170004
37,Burnt,42,59.35,55.67,58.0,51.0,0.05807458924719666,0.9474102004365945
38,Trespass Against Us,50,56.23,63.33,71.0,60.67,0.3633101851851852,0.923728813559322
39,The Last Face,16,59.35,54.5,59.0,55.33,0.09534396544813212,0.9430327384469921
40,Desierto,51,55.84,60.67,74.0,57.0,0.09961069993328059,0.9082172975093156
41,Forsaken,55,58.35,54.5,65.0,46.67,0.21271295011529381,0.9185360094451004
42,Truth,66,61.7,59.67,49.0,59.0,0.1680424174174174,0.9569789674952199
43,Green Room,79,55.63,58.0,73.0,64.0,0.08298680221475277,0.9510364546104361
44,Far from the Madding Crowd,71,59.35,62.67,61.0,61.33,0.2708333333333333,0.9
45,The Night Before,58,56.39,60.67,57.0,52.33,0.08935358578418694,0.896602658788774
46,45 Years,94,59.35,60.67,85.0,72.0,0.11568835152116393,0.8073524213503005
47,Ricki and the Flash,54,61.51,57.33,71.0,56.33,0.20678898664942555,0.8947939262472885
48,Results,73,55.57,57.67,72.0,66.0,0.04583333333333334,0.9571428571428572
49,Entertainment,65,63.13,61.67,55.0,66.0,0.10064717081164448,0.7300930713547052
50,Tale of Tales,72,59.24,54.67,72.0,67.33,0.3477272727272727,0.9706422018348624
51,Demolition,49,59.35,61.0,67.0,63.67,0.127880517565626,0.9505625879043601
52,The Program,53,62.88,58.67,69.0,56.67,0.26732568027210885,0.9427083333333334
53,Ex Machina,78,58.17,59.33,66.0,64.0,0.18766136659489838,0.9569547060713138
54,Spotlight,93,61.64,59.33,60.0,71.67,0.2782482547479427,0.967981072555205
55,Slow West,72,56.6,63.67,72.0,69.0,0.18258434882825514,0.9677146183973748
56,Magic Mike XXL,60,61.51,57.67,63.0,59.5,0.1226647448818543,0.9738915788474318
57,Ant-Man,64,54.84,57.33,55.0,57.33,0.2245525624927278,0.9635884734835083
58,Jurassic World,59,54.6,58.33,53.0,57.67,0.16949883169955174,0.9516401840383566
59,Equals,43,58.73,52.0,55.0,49.67,0.1354001004540407,0.9706869150626877
60,A Bigger Splash,74,60.95,65.67,78.0,69.67,0.057407207773418685,0.9386503067484663
61,Blackhat,51,53.94,58.34,65.0,60.0,0.06428454517887591,0.9244235695986337
62,Our Brand Is Crisis,53,59.35,52.0,60.0,56.0,0.18835638541175456,0.9464244653943436
63,Queen of Earth,77,57.57,62.33,60.0,70.33,0.1674191919191919,0.9248826291079812
64,Spectre,60,53.41,58.67,66.0,58.67,0.1693351982202324,0.9739549541199369
65,Avengers: Age of Ultron,66,54.6,58.0,65.0,62.0,0.12021637007946454,0.9785476561650291
66,Rules Don't Apply,60,58.09,52.67,65.0,55.0,-0.04083333333333331,0.7513227513227513
67,Joy,56,64.14,58.33,67.0,55.33,0.24823365173960865,0.8850143456190687
68,Legend,55,59.71,54.67,55.0,61.67,0.057692307692307696,0.6409495548961425
69,Arabian Nights: Volume 1 - The Restless One,80,63.13,80.0,80.0,77.0,0.16209938343859595,0.896551724137931
70,Triple 9,52,53.94,58.0,65.0,57.33,0.1422717373714474,0.9529513996648252
71,Black Mass,68,61.64,58.67,68.0,60.0,0.2842157214718153,0.9752664387693545
72,Steve Jobs,82,64.14,60.33,69.0,59.0,0.19961386333678147,0.928181321682141
73,The Sea of Trees,23,58.67,56.0,60.0,52.33,0.11958627149289805,0.9291656163347618
74,Aloha,40,58.09,56.67,63.0,54.0,0.09930607243254651,0.8865478119935171
75,Louder Than Bombs,70,63.13,58.33,78.0,70.67,0.05,0.9885057471264368
76,Tomorrowland,60,55.61,58.33,77.0,56.0,0.3083333333333333,0.9405286343612335
77,Irrational Man,53,58.09,57.33,63.0,52.5,0.11187536517904016,0.9273393080851884
78,Trainwreck,75,58.09,61.0,60.0,61.33,0.051278409090909104,0.8733850129198967
79,Youth,64,60.02,57.33,64.0,64.33,0.16209938343859595,0.8723404255319149
80,Sicario,82,56.12,60.0,72.0,55.67,0.28422523532540134,0.9663351543166643
81,Mistress America,75,59.35,59.67,72.0,64.0,0.18942138960598195,0.9116279069767442
82,Life (2015),59,64.14,61.67,65.0,59.33,0.15972540938683708,0.9629401498819423
83,High-Rise,65,60.3,59.0,63.0,66.0,0.16370166845434223,0.9632063074901446
84,Crimson Peak,66,57.46,63.67,63.0,58.0,0.18512270799512986,0.9762396048271118
85,Midnight Special,76,57.55,60.0,72.0,63.0,0.18023268067312145,0.948537378114843
86,Everybody Wants Some!!,83,55.57,55.0,73.0,74.0,0.0942169609072125,0.9022885348889388
87,Bridge of Spies,81,60.54,61.0,62.0,54.33,0.2354083600228923,0.9602075138247534
88,The Lobster,82,57.13,57.0,74.0,63.0,0.09471371258815414,0.9649550616595833
89,Inside Out,94,58.52,65.0,82.0,69.5,0.1549521785946912,0.9165213207433692
90,The Good Dinosaur,66,58.52,65.0,76.0,69.5,0.25689787466848074,0.9132240342605009
91,The Light Between Oceans,60,59.35,58.33,69.0,63.33,0.1911662551380338,0.9841645431379686
92,Beasts of No Nation,79,62.76,78.0,87.0,70.5,0.15093685997810552,0.9289403213465952
93,Mad Max: Fury Road,90,54.42,58.33,66.0,59.33,0.260193929068044,0.9563604886837068
94,Queen of the Desert,39,60.7,56.0,68.0,41.67,0.11018693745791121,0.8473709445421128
95,Carol,94,59.35,61.33,75.0,62.67,0.2433419567857393,0.9552442463385791
96,Macbeth,71,63.37,65.33,62.0,66.67,0.1515628790082519,0.9685234832687916
97,Silence,79,63.86,63.45,71.0,64.67,0.1995583265017918,0.9234286288499222
98,Star Wars: Episode VII - The Force Awakens,80,54.6,62.67,65.0,62.0,0.23139761672019724,0.7900874635568513
99,The Revenant,76,58.94,62.33,71.0,57.67,0.29782952643254007,0.9719318308948749
100,Miss Peregrine's Home for Peculiar Children,57,57.25,55.0,61.0,56.67,0.1929957311075877,0.9799257403326591
101,Independence Day: Resurgence,32,54.6,54.0,44.0,52.33,0.1857963984797881,0.9400742540220929
102,Warcraft,32,54.51,54.33,52.0,54.33,0.23731912563147936,0.9529890952682591
103,Snowden,58,59.71,58.33,61.0,58.0,0.17483189761676102,0.9475171329641312
104,A United Kingdom,65,62.11,55.33,58.0,66.67,0.08762093748982848,0.919373328238441
105,Dark Crimes,24,57.89,55.67,50.0,51.0,0.10833595127865961,0.900497512437811
106,Zoolander 2,34,54.63,53.67,56.0,61.67,0.1581492607281112,0.9395362749116529
107,The Zookeeper's Wife,57,63.81,59.67,66.0,53.0,0.16125237299288572,0.9689088938901392
108,Moana,81,57.81,65.33,72.0,60.67,0.2361868851221249,0.9602134812826969
109,Zama,89,63.86,70.0,80.0,68.0,0.21069444444444443,0.934876989869754
110,Queen of Katwe,73,62.88,67.33,63.0,61.0,0.3219093370879857,0.9673525637979375
111,Sing,59,58.64,56.33,60.0,61.33,0.20381389895954288,0.8682217663298128
112,Whiskey Tango Foxtrot,57,61.56,62.67,56.0,58.0,0.16209938343859595,0.8305647840531561
113,The Great Wall,42,54.36,56.67,70.0,48.33,0.25264799096042834,0.8590321060074373
115,The Founder,66,64.14,57.0,58.0,64.33,0.1748746770062067,0.9642787123083559
116,Deepwater Horizon,68,58.22,52.33,54.0,55.67,0.21399056699407984,0.9401132699238545
117,American Pastoral,43,59.89,54.0,57.0,43.33,-0.07968592923280424,0.9698492462311558
118,Batman v Superman: Dawn of Justice,44,54.6,53.67,52.0,53.33,0.18117248645782133,0.9605021202048855
119,X-Men: Apocalypse,52,54.6,61.67,59.0,57.33,0.18431276774440836,0.9450140925470049
120,Belgica,63,63.13,60.67,59.0,68.33,0.16830797697368421,0.9690402476780186
121,The Magnificent Seven,54,55.66,60.33,52.0,53.0,0.20601814273689273,0.9125852448853069
122,The Discovery,54,57.52,62.0,60.0,61.67,0.09247293601460266,0.9000499750124937
123,The Commune,60,63.13,61.0,61.0,62.67,0.0,0.9664429530201343
124,Neruda,82,60.69,68.67,73.0,72.33,0.16209938343859595,0.9493670886075949
125,Mascots,57,55.57,63.0,69.0,61.50396265560162,0.08508771929824566,0.9112554112554112
126,War on Everyone,50,54.49,55.67,65.0,58.0,0.14700248739015825,0.9110830172777076
127,War Dogs,57,60.58,57.0,55.0,57.33,0.14741106355780462,0.9750185788601154
128,John Wick: Chapter 2,75,53.94,55.0,67.0,49.0,0.201093765227067,0.975314708222191
129,Christine,72,64.14,68.67,63.0,64.5,0.09926872970639487,0.9605488850771869
130,Captain America: Civil War,75,54.6,58.67,61.0,66.0,0.15844997046684126,0.9790190143840258
131,Star Trek Beyond,68,54.42,57.67,55.0,53.67,0.18869916134399276,0.9537258716145444
132,Free State of Jones,53,61.2,61.67,66.0,53.33,0.19322790373294632,0.9331458919087785
133,Little Men,86,63.13,55.01,73.0,75.67,0.1940386970736235,0.8488714425907753
134,Finding Dory,77,57.69,64.67,79.5,69.5,0.18804067206664848,0.9674820352761849
135,Popstar: Never Stop Never Stopping,68,60.7,55.33,56.0,58.67,0.14117702906107193,0.7819712047427483
136,The Promise,49,59.29,59.33,64.0,51.67,0.16640525860222827,0.8118476727785614
137,Gold,49,58.28,54.0,50.0,48.33,0.15590360919068305,0.9525520545421043
138,Hell or High Water,88,57.12,60.0,62.0,52.67,0.34593377300476147,0.9667028592110025
139,The Disaster Artist,76,61.28,55.0,51.0,55.33,0.22246740651841532,0.976562284453028
140,Fantastic Beasts and Where to Find Them,66,56.41,57.33,66.0,64.0,0.18790170420258856,0.967333939945405
141,Allied,60,57.25,59.0,56.0,52.33,0.10885850842165497,0.9653041825095057
142,Love & Friendship,87,58.09,59.33,76.0,69.33,0.18109103723944175,0.9760288396852789
143,Kubo and the Two Strings,84,56.73,54.33,70.0,68.0,0.16209938343859595,0.9615438302624232
144,The Girl on the Train,48,57.34,64.67,52.0,55.67,0.28017490863498273,0.9600096815834768
145,Pete's Dragon,71,56.53,56.33,69.0,59.5,0.23201705304149112,0.935048216459133
146,Una,62,63.13,67.67,58.0,60.67,0.14282407407407405,0.9596412556053812
148,Keanu,63,54.49,56.5,70.0,61.0,0.16264060598773347,0.9618181818181818
149,Suicide Squad,40,55.25,54.33,52.0,55.67,0.15379026304713805,0.958859335715231
150,Sausage Party,66,57.75,60.67,58.0,60.67,0.10191354227947984,0.8980750941020454
151,Loving,79,61.28,65.33,72.0,68.5,0.26347837817952524,0.9638998682476944
152,Salt and Fire,44,53.9,52.0,68.0,46.33,0.16209938343859595,0.8888888888888888
153,A Monster Calls,76,58.09,56.33,64.0,73.66,0.1965882801849001,0.8785159242639816
154,Things to Come,88,63.13,70.67,76.0,71.33,0.15956213040771863,0.9326380633026301
155,Colossal,70,58.35,52.33,56.0,55.33,0.160297909702855,0.9663136160287539
156,Billy Lynn's Long Halftime Walk,53,58.21,56.0,67.0,63.67,0.07642323775388295,0.9305354558610709
157,The BFG,66,56.41,65.33,62.0,58.0,0.2928579545454545,0.7580645161290323
158,Personal Shopper,77,57.46,65.67,72.0,72.0,0.06385834899398937,0.9454228759434875
159,Moonlight,99,63.13,60.33,80.0,71.0,0.29262552564388994,0.9150664697193501
160,Jackie,81,64.29,61.67,73.0,59.33,0.19804550933999568,0.9741266485452532
161,Manchester by the Sea,96,63.13,62.67,64.0,67.67,0.2797627880210068,0.9558292019830481
162,How to Talk to Girls at Parties,50,58.61,55.01,70.0,59.51,0.13287752532016597,0.9421697482735576
163,Nocturnal Animals,67,58.52,59.33,65.0,63.67,0.1593317185120082,0.8926636568848758
164,Paterson,90,58.09,73.67,67.0,67.67,0.16450563468546356,0.955618622063885
165,Wiener-Dog,66,59.35,71.33,67.0,66.5,-0.04324828067412813,0.9133677567412507
166,The Circle,43,58.17,64.0,64.0,49.5,0.13805539586760113,0.9524477009663375
167,Certain Women,82,63.13,59.67,79.0,64.5,0.10867385912698413,0.944632290786137
168,Passengers,41,57.52,58.33,58.0,50.33,0.26276995288772065,0.9600136582560563
169,The Handmaiden,84,57.53,72.5,70.0,69.67,0.2711106037898333,0.9822728287564189
170,The Bad Batch,62,55.47,53.0,71.0,69.33,0.11849383076778658,0.9252330511839159
171,Assassin's Creed,36,54.6,60.0,62.0,63.0,0.18225036189235128,0.9516959980216791
172,Doctor Strange,72,55.25,60.0,47.0,62.0,0.15920215140863206,0.9454772691766912
173,American Honey,80,57.92,59.67,76.0,63.5,0.20196930089627704,0.9468207427848684
174,Julieta,73,58.12,69.33,73.0,63.67,0.1552083333333333,0.9340463458110517
175,The Unknown Girl,65,57.34,68.67,73.0,69.33,0.0,0.9659090909090909
176,It's Only the End of the World,48,63.13,60.33,62.0,64.0,0.24528981937602626,0.9764795144157815
177,Free Fire,63,54.34,57.67,63.0,66.0,0.17166747165739352,0.9294610444010053
178,The Nice Guys,70,54.34,62.0,52.0,54.0,0.30784707358359625,0.9699449058465587
179,Ghostbusters: Answer the Call,60,55.38,55.0,54.0,50.33,0.17472676715606486,0.21447839438101216
180,High Life,77,57.1,66.33,75.0,72.67,0.18241974556279272,0.9574891808050247
181,La La Land,94,59.79,59.33,74.0,52.67,0.2214507070028385,0.9583119668080742
182,Jason Bourne,58,52.58,58.67,73.0,59.33,0.17150802289329983,0.9715305902370054
183,20th Century Women,83,59.35,60.0,73.0,74.33,0.1593047999535641,0.9256951102588686
184,The Lost City of Z,78,64.14,56.67,68.0,61.33,0.06684535834535835,0.9460996133727542
185,Arrival,81,60.3,59.67,72.0,53.67,0.22850481138921958,0.9550159538902948
186,Rogue One: A Star Wars Story,65,54.6,59.67,63.0,59.0,0.2892056637282008,0.9628601540813752
187,The Neon Demon,51,55.63,59.33,61.0,56.33,0.1422790817373356,0.907946272941659
188,The Salesman,85,63.13,79.0,82.0,71.67,0.16209938343859595,0.9326380633026301
189,"Hail, Caesar!",72,60.05,60.67,68.0,64.0,0.22811261516015816,0.9204242993580711
190,War Machine,56,60.36,61.67,62.0,62.33,0.11437372582972577,0.877938731892662
191,Song to Song,54,61.51,63.0,71.0,54.67,0.08133582412839435,0.9612268518518519
192,Brawl in Cell Block 99,79,56.23,51.67,67.0,59.0,0.27552236434356764,0.8998163874225384
193,Landline,66,59.35,62.0,71.0,51.0,0.013674696309500217,0.9405850091407678
194,Godard Mon Amour,55,59.85,62.33,58.0,56.33,0.24629166666666671,0.9847764034253093
195,Atomic Blonde,63,52.58,56.0,62.0,61.0,0.08706552421079403,0.9320177509205929
196,The Dark Tower,34,56.34,54.67,57.0,54.33,0.1562025869295335,0.8906504143442175
197,The Mercy,60,59.75,62.33,59.0,62.0,0.20811010652156484,0.9118705035971223
198,In the Fade,65,57.89,55.0,66.0,54.0,0.0948548381858041,0.7814029363784666
199,Wonder Wheel,45,59.35,52.0,63.0,57.33,0.15047163406006941,0.8386749838674984
200,A Fantastic Woman,86,63.13,77.33,79.0,76.33,0.15278949027055921,0.9237623762376238
201,Alien: Covenant,65,56.25,62.33,58.0,55.67,0.1081882477039743,0.9462947543713572
202,The Lovers,76,58.09,63.33,72.0,68.0,0.04718269825155293,0.8513863216266174
203,Valerian and the City of a Thousand Planets,51,55.25,50.67,51.0,53.33,0.26439270695891054,0.9429962946782519
204,Life (2017),54,56.25,65.0,56.0,52.0,0.07967624550030417,0.9458016204272035
205,Wonder Woman,76,56.68,57.67,70.0,53.33,0.24353536159229827,0.9634071469701072
206,D'après une histoire vraie,43,57.57,57.0,68.0,59.0,-0.006470692090395483,0.928164196123147
207,Battle of the Sexes,73,61.76,60.33,70.0,68.67,0.11871724230812923,0.8779118720179624
208,The Dinner,57,57.89,58.67,68.0,65.33,0.014208415381437977,0.8498043052837574
209,Mary Shelley,49,62.11,52.67,66.0,61.33,0.242205359822882,0.9829918164141792
210,Euphoria,32,57.95,53.0,32.0,42.0,0.16526951962661504,0.9795399463342854
211,The Legacy of a Whitetail Deer Hunter,49,59.35,53.0,59.0,61.5,0.09166305817262702,0.9188007495315428
212,The Book of Henry,31,57.89,52.01,53.0,50.5,0.1643449457242492,0.9814649643655021
213,Wilson,49,59.35,57.0,62.0,70.0,0.09586833642547932,0.9492222420883247
214,Paddington 2,88,57.59,61.67,83.0,64.0,0.18041507678450355,0.9538307961068131
215,The Cloverfield Paradox,37,55.0,59.0,55.0,63.0,0.10804288219347388,0.9259517717298597
216,Lady Bird,94,59.35,67.67,69.0,73.67,0.1577764507946095,0.9788970297898477
217,Journeyman,72,61.75,66.67,67.0,71.5,0.17709812098820726,0.9696312364425163
218,Mute,35,55.68,57.33,52.0,54.5,0.19016750281217587,0.952154857560263
219,The Florida Project,92,63.13,64.33,73.0,78.0,0.2720909326923089,0.9791012764176606
220,Logan,77,56.44,61.33,62.0,57.33,0.2574975900769202,0.9843745419366187
221,Dark River,69,57.57,69.495,80.0,71.67,0.026488095238095224,0.8309859154929577
222,It Comes at Night,78,56.84,60.0,81.0,69.5,0.12686129049473732,0.9016031598513011
223,Stronger,76,64.14,60.33,60.0,48.0,0.20288774146763733,0.9725855581437018
224,Call Me by Your Name,93,59.35,65.51,78.0,76.0,0.019932083734167067,0.8078175895765473
225,Suspiria,64,56.04,62.67,78.0,69.67,0.22691782138811362,0.9491384432560903
226,Gringo,46,56.65,57.33,60.0,63.67,0.15955604910962057,0.8080357142857143
227,Wind River,73,57.34,60.0,67.0,52.67,0.299660461500305,0.9591461170408538
228,Guardians of the Galaxy Vol. 2,67,54.84,56.0,50.0,62.0,0.21653678336080795,0.9563865433587991
229,Tully,75,58.12,56.33,61.0,60.67,0.16987572289903707,0.9062757450932881
230,Vice,61,61.28,59.67,53.0,62.67,0.26401311648536635,0.9646467136728958
231,Wildlife,80,63.13,66.33,62.0,66.67,0.13409244021578975,0.9777574250948581
232,Rough Night,51,55.37,56.33,81.0,50.0,0.07044581412830314,0.6650503808127158
233,Darkest Hour,75,63.81,58.67,63.0,60.33,0.23120110344227535,0.944060773480663
234,"Mektoub, My Love: Canto Uno",59,55.57,41.0,59.0,59.67,0.02283423940400684,0.8006279434850864
235,Red Sparrow,53,56.1,62.33,61.0,56.67,0.20036291991717772,0.9198141151380314
236,The Current War,55,64.29,57.0,55.0,56.0,0.13786983010912712,0.9819866920152092
237,Spider-Man: Homecoming,73,54.6,59.0,63.0,55.67,0.1963211767085705,0.9621655461498679
238,Mary Magdalene,48,64.14,61.0,87.0,65.67,0.1746306665220639,0.9183057448880234
239,The Other Side of Hope,84,59.35,68.67,77.0,76.67,0.16209938343859595,0.94
240,The Glass Castle,56,64.14,58.0,59.0,45.0,0.2761610971161139,0.9686696769711706
241,Good Time,80,57.89,64.67,73.5,72.0,0.22478375076593682,0.9329675981484656
242,Where Is Kyra?,72,63.13,55.33,69.0,63.33,0.17638738909744778,0.9392789373814042
243,The Death of Stalin,88,61.1,59.0,82.0,59.33,0.14838564036657773,0.9234120697104998
